
[02:20:44.000 --> 02:20:47.000]   >> As a superintendent and former Panther principal,
[02:24:26.000 --> 02:24:28.000]   There's an extended school year,
[02:24:28.000 --> 02:24:32.000]   and we have great teams working with our students that have IUPs,
[02:24:32.000 --> 02:24:37.000]   and they've been really working to maintain the skills that our students have learned
[02:24:37.000 --> 02:24:41.000]   throughout the entire year so that they're ready on that first day of school.
[02:24:41.000 --> 02:24:46.000]   Many students have shared how excited they are to come to school every single day
[02:24:46.000 --> 02:24:53.000]   and work with their teams and also to socialize with each other to maintain those IUP goals.
[02:24:53.000 --> 02:24:59.000]   In addition to that, I visited Mr. Gonzales Learning Links,
[02:24:59.000 --> 02:25:02.000]   and if you don't know what Learning Links are,
[02:25:02.000 --> 02:25:06.000]   it's a program for a caregiver in a child that's zero to five.
[02:25:06.000 --> 02:25:09.000]   So anyone in the community can join,
[02:25:09.000 --> 02:25:16.000]   and there's multiple developmental activities that are hosted at different stations,
[02:25:16.000 --> 02:25:25.000]   and essentially you see grandparents, caregivers, parents just coming in with their infants and toddlers,
[02:25:25.000 --> 02:25:29.000]   and they get to experience a lot of different things, so it's really nice to see that,
[02:25:29.000 --> 02:25:34.000]   and it's going to continue on through August 1st at two different sites at Palmyra and at Handy,
[02:25:34.000 --> 02:25:39.000]   and then we'll have additional sites morning and afternoon sessions, I believe,
[02:25:39.000 --> 02:25:44.000]   being hosted throughout the school year, so definitely look out for that.
[02:25:44.000 --> 02:25:53.000]   And then in the last four weeks, we've also had a Mandarin summer camp hosted at Sarasala Middle School,
[02:25:53.000 --> 02:25:58.000]   and our Mandarin immersion students, I believe there were a hundred students that attended,
[02:25:58.000 --> 02:26:05.000]   including my two at home, attended Mandarin language instruction,
[02:26:05.000 --> 02:26:07.000]   and it was for the first three hours of the morning,
[02:26:07.000 --> 02:26:14.000]   and then the last three hours of the afternoon were specific to cultural experiences like Chinese yoyo,
[02:26:14.000 --> 02:26:19.000]   fan dance, there were so many different performances that were happening,
[02:26:19.000 --> 02:26:24.000]   but at least I noticed in my own two children coming home and speaking Mandarin, especially to each other,
[02:26:24.000 --> 02:26:28.000]   so now that's a new challenge that I get to fix at home.
[02:26:28.000 --> 02:26:34.000]   It's a great opportunity, it's not a challenge that our kids get to learn new languages,
[02:26:34.000 --> 02:26:38.000]   but it's just some highlights that have been happening over the summer,
[02:26:38.000 --> 02:26:42.000]   and I'm really looking forward to the new school year.
[02:26:42.000 --> 02:26:48.000]   And now we move on to board recognition of students, staff, and community.
[02:26:48.000 --> 02:26:53.000]   Are there any board members who would like to share?
[02:26:53.000 --> 02:26:57.000]   I'll see you in a sec.
[02:26:57.000 --> 02:26:58.000]   Thank you.
[02:26:58.000 --> 02:27:03.000]   I hope everyone is having a enjoyable summer and a great Independence Day.
[02:27:03.000 --> 02:27:08.000]   I joined the Kenyan Education Foundation at the fireworks booth one day,
[02:27:08.000 --> 02:27:14.000]   and I'd like to thank all the amazing volunteers who came out and worked those booths because it was hot,
[02:27:14.000 --> 02:27:20.000]   but they're raising money for their respective boosters, and that's really impressive.
[02:27:20.000 --> 02:27:26.000]   Not only at Kenyan, but Boulepark High School as well, so I'd like to thank all of our volunteers once again.
[02:27:26.000 --> 02:27:30.000]   And speaking of volunteers, and I know many of you may not want to hear this,
[02:27:30.000 --> 02:27:36.000]   but we're gearing up for school, so I know the PTAs are working hard,
[02:27:36.000 --> 02:27:40.000]   so I'd like to encourage everyone to join their PTAs,
[02:27:40.000 --> 02:27:45.000]   and the new boards are all gathering and getting together and planning for the school year,
[02:27:45.000 --> 02:27:50.000]   to acknowledge them for all their work because without them, you know,
[02:27:50.000 --> 02:27:53.000]   our district would not be what it is today.
[02:27:53.000 --> 02:27:56.000]   And lastly, Trustee Page mentioned it,
[02:27:56.000 --> 02:28:00.000]   and I also attended the OUSD Mandarin Immersion Summer Camp Program,
[02:28:00.000 --> 02:28:10.000]   and she spoke on most everything except I want to say that their Mandarin proficiency continues to amaze me.
[02:28:10.000 --> 02:28:14.000]   I'm Chinese, and I don't speak Chinese, so it's kind of embarrassing.
[02:28:14.000 --> 02:28:20.000]   But they just blow me away because at least I can kind of hear some of the intonations, and they got it.
[02:28:20.000 --> 02:28:23.000]   So it was a treat to see them perform,
[02:28:23.000 --> 02:28:28.000]   and one of the other treats was they had expert teachers coming from Taiwan,
[02:28:28.000 --> 02:28:33.000]   and they were teaching the kids dancing and the yo-yo-ing,
[02:28:33.000 --> 02:28:36.000]   and they did a demonstration themselves, so it was really impressive.
[02:28:36.000 --> 02:28:42.000]   And another thing they did is they brought in a renowned Chinese calligrapher,
[02:28:42.000 --> 02:28:50.000]   and he did a live demonstration for the students and created these beautiful signs with the Chinese characters,
[02:28:50.000 --> 02:28:52.000]   and so that was really neat to see.
[02:28:52.000 --> 02:28:57.000]   So I want to thank not only the Global Culture Education Foundation who sponsored it,
[02:28:57.000 --> 02:29:05.000]   but the volunteers, the teachers, and the student volunteers at CV who helped to make this program great,
[02:29:05.000 --> 02:29:11.000]   or created this opportunity for our students, so it was wonderful.
[02:29:11.000 --> 02:29:13.000]   Thank you for sharing.
[02:29:13.000 --> 02:29:15.000]   Trustee Kelly.
[02:29:15.000 --> 02:29:17.000]   Thank you, Madam President.
[02:29:17.000 --> 02:29:20.000]   Just a quick comment or two.
[02:29:20.000 --> 02:29:26.000]   It's just exciting to see during summer, as you mentioned, that there's so much going on.
[02:29:26.000 --> 02:29:32.000]   You think summer people take a break, and I think that's probably one of the most important and busiest times in the district office.
[02:29:32.000 --> 02:29:36.000]   We would always say see you in the fall, and the district office people would look at us like really.
[02:29:36.000 --> 02:29:43.000]   You think we're going anywhere, and all the construction and the maintenance and things, projects that are going on.
[02:29:43.000 --> 02:29:51.000]   But I have not been able to be here to visit, but I love social media because I've been watching all of these great summer programs that are going on at the schools,
[02:29:51.000 --> 02:29:57.000]   and not just the fact that they're addressing learning loss, which does happen in the summer,
[02:29:57.000 --> 02:30:01.000]   but for the kids who are really the most susceptible to it.
[02:30:01.000 --> 02:30:07.000]   It's really preventing learning loss. We see it happen when they come back in the fall, but we don't have to do all the catch up.
[02:30:07.000 --> 02:30:10.000]   Teachers can just kind of jump right in with a lot of these kids.
[02:30:10.000 --> 02:30:17.000]   But also, they're making it fun in these cultural activities, you know, the Mandarin Immersion Program, all those great cultural activities.
[02:30:17.000 --> 02:30:23.000]   And I saw, I don't know if it was Cambridge, but a couple of the schools were doing cooking classes,
[02:30:23.000 --> 02:30:26.000]   and I'm just watching this thinking this is so fun.
[02:30:26.000 --> 02:30:30.000]   I would have never wanted to go to summer school back when we had it because it was not fun.
[02:30:30.000 --> 02:30:32.000]   We didn't do cooking. We didn't do any of that stuff.
[02:30:32.000 --> 02:30:39.000]   So I just really wanted to give a shout out to all of the people that are putting those programs together because it is a lot of work.
[02:30:39.000 --> 02:30:43.000]   And they're working during their summer, but it's really helping our kids and helping learning loss.
[02:30:43.000 --> 02:30:48.000]   So thank you to all of the people who are involved with that.
[02:30:48.000 --> 02:30:50.000]   Thank you, Trustee Pelley.
[02:30:50.000 --> 02:30:52.000]   Trustee Boss?
[02:30:52.000 --> 02:30:54.000]   Good evening.
[02:30:54.000 --> 02:31:01.000]   Good evening. And similar to Ms. Pelley, Trustee Pelley, I was out of town right after the 3rd of July celebration.
[02:31:01.000 --> 02:31:07.000]   So again, that's been my first 3rd of July celebration here at Groudon Park, which is very nice, very welcoming.
[02:31:07.000 --> 02:31:13.000]   And right after that, on a plane to Kansas City, Missouri, and Kansas City, Kansas.
[02:31:13.000 --> 02:31:16.000]   We drove to Kansas City, Kansas for a footsault tournament.
[02:31:16.000 --> 02:31:19.000]   If you know what footsault is, I'll give you a quarter.
[02:31:19.000 --> 02:31:25.000]   But it's similar to soccer. My daughter was in a tournament out there, which is really exciting for her.
[02:31:25.000 --> 02:31:32.000]   And it made me think more about some of our sports and our activities that are going on in our district that students need to be involved in,
[02:31:32.000 --> 02:31:37.000]   but also not necessarily become a pro, but just to have some interaction with their colleagues.
[02:31:37.000 --> 02:31:47.000]   So I just want to thank everyone who's gone on the different expeditions, not just to different sites, but also through social media and seeing what's going on in our districts.
[02:31:47.000 --> 02:31:53.000]   A lot of things are happening that are very positive. So thank you.
[02:31:53.000 --> 02:32:01.000]   Thank you, Trustee Gras. Trustee Erickson. Yes, just quickly, I wanted to thank the communications department for your lovely Measure S presentation.
[02:32:01.000 --> 02:32:08.000]   And I just want to remind and thank everybody again for all of their hard work to get Measure S passed.
[02:32:08.000 --> 02:32:17.000]   It was an enormous pull for so many volunteers that have maintained their volunteer status throughout the years.
[02:32:17.000 --> 02:32:26.000]   But it's incredible to think how that started and how then superintendent Mike Christensen called four parents together.
[02:32:26.000 --> 02:32:37.000]   Trustee Elmasaki, myself, Mr. Greenwald, Mr. Jacoby, and we literally sat around my kitchen table and that was how that Measure K movement started.
[02:32:37.000 --> 02:32:46.000]   And then it just built and we, not we, but volunteers everywhere worked so hard for three years to get that passed.
[02:32:46.000 --> 02:32:55.000]   So this is such a long time coming. And to see these buildings at Warnch High being completed, it just, it warms my heart.
[02:32:55.000 --> 02:33:07.000]   And I'm so grateful to the volunteers, the taxpayers that are paying the bond and the people that are building and the people that are maintaining because this is such an incredibly important thing for our students.
[02:33:07.000 --> 02:33:16.000]   They deserve to have the safest, cleanest state-of-the-art facilities and that's what we want to provide to our students on every campus.
[02:33:16.000 --> 02:33:20.000]   And that's what we're going to strive to do. So thank you.
[02:33:20.000 --> 02:33:27.000]   Thank you, Trustee Erickson and our student board member, Alex.
[02:33:27.000 --> 02:33:45.000]   Thanks.
[02:33:45.000 --> 02:33:46.000]   Perfect. Thank you very much.
[02:33:46.000 --> 02:33:57.000]   Unfortunately, I didn't draft up exactly something for the board recognition of staff, students and community, albeit it'll be very short. So there is a lot, a lot of construction over at Oak Park High School.
[02:33:57.000 --> 02:34:01.000]   It does seem like a shiv yard. I think there's so much of that construction, right?
[02:34:01.000 --> 02:34:14.000]   I'm repeating the size of our school, white, saturated grade that we had previously. We're also doing major developments with the gym that we have, as well as our four other school sites, high school specifically.
[02:34:14.000 --> 02:34:22.000]   And also we're making major advancements with the miniaturized-faced suit building that we have for our English and math departments.
[02:34:22.000 --> 02:34:31.000]   And so I go on walks right now, right near the town center, and I'm like, wow, the miniaturized suit building is just so different when we first started.
[02:34:31.000 --> 02:34:44.000]   And in continuation with that, we are also doing a lot of stuff in specifics with our student organizations and our ASB in gearing up for registration this upcoming month, August.
[02:34:44.000 --> 02:34:47.000]   And that's all I have to say. Thank you very much.
[02:34:47.000 --> 02:34:52.000]   Thank you.
[02:34:52.000 --> 02:34:55.000]   Number six, public comment.
[02:34:55.000 --> 02:35:13.000]   We have public comment on items, item 7a, we have three, and then we have 8a and then some non-agenda items.
[02:35:13.000 --> 02:35:18.000]   Okay, how many are there?
[02:35:18.000 --> 02:35:22.000]   There's three for 7a.
[02:35:22.000 --> 02:35:30.000]   Oh, I'm sorry. Can we, if it's okay with the board, can we just do the non-agenda since there's only three?
[02:35:30.000 --> 02:35:38.000]   Oh, I'm sorry. For non-agenda, 7a has three, 8a has one, and then we have four for non-agenda.
[02:35:38.000 --> 02:35:43.000]   Okay, the four non-agenda. Does it? Non-agenda.
[02:35:43.000 --> 02:35:45.000]   Can we just do that?
[02:35:45.000 --> 02:35:47.000]   I'm fine with it.
[02:35:47.000 --> 02:35:49.000]   Okay, okay.
[02:35:49.000 --> 02:35:56.000]   So do you want to do non-agenda first because 7a is the next item? Okay, so non-agenda is first. Okay.
[02:35:56.000 --> 02:36:07.000]   So the first non-agenda speaker is Tanya Esperi.
[02:36:07.000 --> 02:36:11.000]   Okay, I'll, she'll be on deck, so we'll call her when she comes back in.
[02:36:11.000 --> 02:36:21.000]   Jolynn.
[02:36:21.000 --> 02:36:26.000]   Hello, trustees. I would like to take you a moment and just tell you a little story real quick.
[02:36:26.000 --> 02:36:33.000]   This story is about a five-year-old kid who did cheer with the local cheer group in the winter.
[02:36:33.000 --> 02:36:38.000]   They had a great time. They wore the same uniform as the other cheerleaders.
[02:36:38.000 --> 02:36:44.000]   It was exciting and fun. They signed up to do summer cheer, and they got there.
[02:36:44.000 --> 02:36:51.000]   And they were informed that unless they wore their assigned gender at birth-specific clothing as a five-year-old,
[02:36:51.000 --> 02:36:54.000]   they would not be allowed to participate in cheer.
[02:36:54.000 --> 02:36:59.000]   They were not allowed to wear the same cheer skirt that everyone else was wearing.
[02:36:59.000 --> 02:37:04.000]   They had to wear shorts or else they were not allowed to participate.
[02:37:04.000 --> 02:37:09.000]   And as what makes this even worse is the five-year-old was told before the parent could even get there.
[02:37:09.000 --> 02:37:14.000]   So they were sitting there crying as the parent walked up.
[02:37:14.000 --> 02:37:24.000]   Now, what makes this important to you guys is this is the I-9 franchise 305, which uses the Fletcher School Facility.
[02:37:24.000 --> 02:37:31.000]   And not only that, they have signs and posters outside of a lot of our schools advertising their group telling kids
[02:37:31.000 --> 02:37:37.000]   they're a great inclusive organization. They have co-ed sports for boys and girls, come and join it.
[02:37:37.000 --> 02:37:45.000]   It's just they're not saying that we only have sports for cis-presenting boys and girls.
[02:37:45.000 --> 02:37:48.000]   And that's not what the district should be standing for.
[02:37:48.000 --> 02:37:51.000]   And I don't know how the rules for rentals work. I'm looking into that.
[02:37:51.000 --> 02:37:59.000]   But I do know that we shouldn't be advertising that type of discriminatory group at all of our school sites.
[02:37:59.000 --> 02:38:04.000]   I do know they're a franchise, so I'm not saying that this is reflective of all of I-9 sports,
[02:38:04.000 --> 02:38:10.000]   just specifically the ones that operate in Norval and Orange and the Red Hills School.
[02:38:10.000 --> 02:38:16.000]   Specifically, this happened at Fletcher, but this was from the top down affecting all of those.
[02:38:16.000 --> 02:38:23.000]   So I would appreciate it if you could look into and maybe make sure we're not promoting a discriminatory organization.
[02:38:23.000 --> 02:38:38.000]   Thank you.
[02:38:38.000 --> 02:38:51.000]   Okay, she's still on deck. Carlos Sanchez.
[02:38:51.000 --> 02:38:54.000]   Hi, school board members. My name is Carlos.
[02:38:54.000 --> 02:39:00.000]   Damn, I haven't attended a school board meeting in a minute, but I was really upset with what happened with Madison,
[02:39:00.000 --> 02:39:07.000]   mine and Rick with Desma. You know, I don't like what's going on with a lot of things in the school systems.
[02:39:07.000 --> 02:39:16.000]   And I hate to see, I hate to see, I hate to see what was going on and me as being another Hispanic fan
[02:39:16.000 --> 02:39:21.000]   that grew up here in the Orange and the Red Hills School District. I went to VP.
[02:39:21.000 --> 02:39:36.000]   I'm just really mind blown, mind blown about it by you guys, so that's all I have to say.
[02:39:36.000 --> 02:39:42.000]   Tonya, Tonya. Are you here?
[02:39:42.000 --> 02:39:48.000]   Okay, we'll go with Darshan Smollett and you'll wave it off. Okay.
[02:39:48.000 --> 02:39:53.000]   Well, Tonya, it's your turn.
[02:39:53.000 --> 02:40:03.000]   Okay.
[02:40:03.000 --> 02:40:13.000]   Thank you.
[02:40:13.000 --> 02:40:23.000]   Thank you.
[02:40:23.000 --> 02:40:41.000]   My phone wasn't letting me get into this.
[02:40:41.000 --> 02:40:49.000]   All right. Good evening, Board of Trustees, Superintendent Gonzalez, Cabinet and members of the community. My name is Tonya Sperry.
[02:40:49.000 --> 02:40:58.000]   I'm the president of CSA Orange Chapter 67. We're the union that represents approximately 1,300 classified staff at Orange Unified School District.
[02:40:58.000 --> 02:41:00.000]   Sorry.
[02:41:00.000 --> 02:41:06.000]   Today, I'm here tonight to advocate for the inclusion of reclassification process in our collective bargaining agreement.
[02:41:06.000 --> 02:41:10.000]   Why are we negotiating reclassification language?
[02:41:10.000 --> 02:41:20.000]   Classified staff communicated that the reclassification process that OUSD has been unclear for years. The benefit of adding this contract language is as follows.
[02:41:20.000 --> 02:41:27.000]   Transparency, understanding, the reclassification process.
[02:41:27.000 --> 02:41:37.000]   Prevents protections if the process is not followed. CSA's stance is that the law defines reclassification as a mandatory subject of bargaining.
[02:41:37.000 --> 02:41:45.000]   This means negotiation reclassification is a right of the union and its members, whether the language is included in the contract or not.
[02:41:45.000 --> 02:42:01.000]   Adding the process creates a clear understanding for both members and the district alike. The district's proposals attempt to reduce some of membership's other rights as a trade-off to adding a clearly defined reclassification process to the contract.
[02:42:01.000 --> 02:42:09.000]   Our stance is that membership should not be penalized for expecting a transparent process and appropriate pay for service performed.
[02:42:09.000 --> 02:42:19.000]   OUSD has committed to four goals, values, equity, integrity, respect, and excellence.
[02:42:19.000 --> 02:42:28.000]   Yet the contract includes many waivers of our most fundamental rights. Moving forward, waivers of our rights will not be considered.
[02:42:28.000 --> 02:42:38.000]   Any of the district's attempts to waive our rights are considered incredibly disrespectful when we too contribute to the success of the district and its students.
[02:42:38.000 --> 02:42:43.000]   We are truly valued.
[02:42:43.000 --> 02:42:49.000]   Yes, the Governing Board ensured that the district demonstrates at the table.
[02:42:49.000 --> 02:42:53.000]   I respectfully thank you for all your considerations. Thank you.
[02:42:53.000 --> 02:43:07.000]   Thank you. Thank you all for being here tonight.
[02:43:07.000 --> 02:43:17.000]   7A Public Hearing Charter School Renewal Petition by Al Rancho Charter School. Mr. Gonzalez, do we take those now or do we take them apart?
[02:43:17.000 --> 02:43:31.000]   We may want to ask those who submitted blue cards what they intended to do because typically we open up the public hearing and then we don't require blue cards, but if that's their intent, then we'll just make sure that they get called up first.
[02:43:31.000 --> 02:43:53.000]   Perhaps those people that turned in the blue cards for the Al Rancho Renewal Public Hearing could let us know if that's okay to just include you as part of the public hearing or if you'd like to be heard separately before we begin the discussion on the item.
[02:43:53.000 --> 02:43:57.000]   Okay, so we'll just take care of it during the public hearing portion then.
[02:43:57.000 --> 02:44:00.000]   Okay. Thank you.
[02:44:00.000 --> 02:44:19.000]   So I will now close the regular meeting and open the public hearing on the Al Rancho Charter Renewal Request at 738 PM.
[02:44:19.000 --> 02:44:21.000]   Thank you.
[02:44:21.000 --> 02:44:32.000]   Good evening, President Page, Trustees, staff, and community. We are here this evening for the public hearing on the request for a renewal of Charter for Al Rancho Charter School.
[02:44:32.000 --> 02:44:41.000]   Charter School renewals were on hiatus for three years due to lack of statewide academic data because of COVID.
[02:44:41.000 --> 02:44:54.000]   And for that reason, Al Rancho's current Charter term runs through June 30, 2025. In the 2024-25 school year, we are restarting the Charter Renewal process.
[02:44:54.000 --> 02:45:05.000]   The process consists of the school submitting a Charter Renewal petition, the Board of Education holding a required public hearing on the renewal petition.
[02:45:05.000 --> 02:45:13.000]   The district staff analyzing the renewal request against the standards for renewals set forth in the Charter School Act.
[02:45:13.000 --> 02:45:23.000]   Staff will publish its recommendations, including recommended findings at least 15 days before the meeting at which the district board will act on the request.
[02:45:23.000 --> 02:45:32.000]   There were significant changes to the Charter School Act, including relative to Charter Renewal, which became affected in 2020.
[02:45:32.000 --> 02:45:41.000]   Because of renewal, Charter Schools are now divided into four categories based on their performance on local and statewide indicators.
[02:45:41.000 --> 02:45:53.000]   During the two consecutive years immediately preceding the renewal decision, high, middle, low, and dashboard alternative status schools called DASS.
[02:45:53.000 --> 02:46:01.000]   The permanent renewal standards and most available length of the renewal term are dependent on the categorization.
[02:46:01.000 --> 02:46:06.000]   Most Charter Schools will be in the middle performing and eligible for five-year renewals.
[02:46:06.000 --> 02:46:11.000]   High performing Charters may be renewed for terms five to seven years.
[02:46:11.000 --> 02:46:20.000]   Low performing schools for which the Charter authorizer makes an exception and renews the Charter may only be renewed for two years.
[02:46:20.000 --> 02:46:29.000]   The California Department of Education has certified Rancho as a high performing Charter School for the purposes of this renewal.
[02:46:29.000 --> 02:46:35.000]   So the district board may renew its Charter for five, six, or seven years.
[02:46:35.000 --> 02:46:46.000]   Rancho submitted its renewal petition on June 17, 2024, and is requesting that the board renew its Charter for an additional seven-year term.
[02:46:46.000 --> 02:46:56.000]   The Charter Schools Act provides that within 60 days of submission of the renewal petition, the district board of education is to hold the public hearing on the provisions of the Charter,
[02:46:56.000 --> 02:47:05.000]   at which time the board shall consider the level of support for the renewal petition by district teachers and other district employees and parents and guardians.
[02:47:05.000 --> 02:47:18.000]   The board's decision on the renewal of the Charter should occur within 90 days of receipt unless that time is extended by an additional 30 days by mutual agreement between the district and Rancho.
[02:47:18.000 --> 02:47:28.000]   The board's decisions on Rancho's renewal request is anticipated to be included on the board's September 12, 2024 meeting agenda.
[02:47:28.000 --> 02:47:38.000]   Staff working with legal counsel as appropriate will review and analyze Rancho's request for Charter renewal in compliance with the requirements of the Charter Schools Act.
[02:47:38.000 --> 02:47:58.000]   The analysis will be completed in the upcoming weeks, and staff's recommendation and recommended findings will be published at least 15 days prior to the board's action on this item, which is anticipated to be by August 28 for the September 12 meeting.
[02:47:58.000 --> 02:48:00.000]   Thank you.
[02:48:00.000 --> 02:48:05.000]   So, does El Rancho wish to meet the presentation regarding the Charter request?
[02:48:05.000 --> 02:48:14.000]   Okay, please come up.
[02:48:14.000 --> 02:48:21.000]   Good evening, members of the Orange Unified School District Board, esteemed colleagues, parents, and community members.
[02:48:21.000 --> 02:48:36.000]   My name is Michelle Walker, and I'm the executive director at El Rancho Charter School. I am honored to stand before you today to highlight the remarkable achievements of our school and to explain why we should earn a seven-year renewal.
[02:48:36.000 --> 02:48:50.000]   Our journey has been marked by 22 years of the academic excellence, financial stability, the fostering of a supportive and inclusive environment, and a commitment to continuous improvement.
[02:48:50.000 --> 02:48:55.000]   First, I would like to highlight our academic successes.
[02:48:55.000 --> 02:49:02.000]   Our students have consistently demonstrated outstanding performance across various metrics.
[02:49:02.000 --> 02:49:13.000]   Our standardized test scores have seen significant improvements with a notable increase in proficiency levels in both math and English language arts.
[02:49:13.000 --> 02:49:25.000]   A variety of interventions in student learning is crucial to address diverse educational needs and ensure that all students have the opportunity to succeed.
[02:49:25.000 --> 02:49:35.000]   Different students require tailored approaches to overall individual challenges and maximize their academic potential.
[02:49:35.000 --> 02:49:48.000]   This is a testament to the dedication of our teachers who have implemented innovative teaching strategies and personalized learning plans to meet the diverse needs of our students.
[02:49:48.000 --> 02:50:04.000]   In addition to our academic milestones, El Rancho has been recognized for its many achievements, including a California Distinguished School in 2005, 2013, and most recently in 2024.
[02:50:04.000 --> 02:50:14.000]   This prestigious honor is awarded to schools that demonstrate exceptional student performance and progress in narrowing the achievement gap.
[02:50:14.000 --> 02:50:27.000]   Our designation as a California Distinguished School is a direct result of our collaborative efforts to create a learning environment that encourages every student to reach their full potential.
[02:50:27.000 --> 02:50:37.000]   In addition, El Rancho has been named California and National Schools to Watch in 2023 by the California League of Educators.
[02:50:37.000 --> 02:50:43.000]   El Rancho is ranked in the top 10% of all middle schools in California.
[02:50:43.000 --> 02:50:51.000]   A highlight was being named the number one middle school in Orange County by the Orange County Register.
[02:50:51.000 --> 02:51:04.000]   El Rancho provides the opportunity to offer over 30 different electives and fosters a love of learning by allowing students to explore their interests and discover new passions.
[02:51:04.000 --> 02:51:16.000]   Engaging students in diverse subjects helps them to develop a well-rounded education and keeps them motivated and excited about their school experience.
[02:51:16.000 --> 02:51:25.000]   El Rancho Charter School maintains strong financial stability, crucial for its continued success and operational efficiency.
