
[02:21:20.000 --> 02:21:21.000]   >> Thank you.
[02:24:11.400 --> 02:24:16.700]   According to district records, this equals a total tax payer savings of
[02:24:16.700 --> 02:24:23.700]   $26,799,192 since 2017.
[02:24:25.400 --> 02:24:29.600]   Thanks to the phase one project of Measure S, Orange Unified School District
[02:24:29.600 --> 02:24:34.700]   students and teachers now benefit from 71 state-of-the-art classrooms
[02:24:34.700 --> 02:24:40.000]   totaling over 200,000 square feet of modern teaching and learning space
[02:24:40.000 --> 02:24:45.800]   across cutting-edge sun centers at Canyon, Almedina, Orange, and other
[02:24:45.800 --> 02:24:46.800]   park high schools.
[02:24:46.800 --> 02:24:52.200]   We are now well into phase two of our Measure S projects, which will provide
[02:24:52.200 --> 02:24:56.300]   additional campus improvements specific to each school site's needs.
[02:24:56.300 --> 02:24:58.800]   I'd like to share our most recent updates.
[02:24:58.800 --> 02:25:04.600]   At Canyon High School, a 400-building project is complete with 13 classrooms
[02:25:04.600 --> 02:25:08.800]   and other features such as modernized student restaurants and a speech
[02:25:08.800 --> 02:25:09.400]   classroom.
[02:25:09.400 --> 02:25:14.700]   Also, as part of these upgrades, 16 portable classrooms were removed from
[02:25:14.700 --> 02:25:15.400]   the campus.
[02:25:15.400 --> 02:25:20.100]   We are excited to welcome Canyon High School students into the beautifully
[02:25:20.100 --> 02:25:22.700]   renovated classrooms on the first day of school.
[02:25:22.700 --> 02:25:26.300]   I think the investment on Measure S has made students so much more excited
[02:25:26.300 --> 02:25:27.100]   to come to school.
[02:25:27.100 --> 02:25:33.500]   Canyon's such a great school and it's so cool to see everything being
[02:25:33.500 --> 02:25:35.700]   renovated and really makes me excited to come.
[02:25:35.700 --> 02:25:38.900]   I do not think it was going to look like this at all.
[02:25:38.900 --> 02:25:42.000]   I really like the color that they have and looking inside the classrooms,
[02:25:42.000 --> 02:25:44.200]   it's really big and I think it's going to be really cool.
[02:25:48.000 --> 02:25:50.700]   I think the new space is really awesome.
[02:25:50.700 --> 02:25:55.900]   It just makes our school feel more modern and new.
[02:25:55.900 --> 02:26:01.900]   At Al Medina High School, the renovation of the 800 building has been
[02:26:01.900 --> 02:26:06.400]   completed and the state-of-the-art facility that includes specialized
[02:26:06.400 --> 02:26:11.300]   spaces thoughtfully designed to inspire creativity, innovation and
[02:26:11.300 --> 02:26:15.600]   collaboration officially open for teacher and students' use last
[02:26:15.600 --> 02:26:16.100]   morning.
[02:26:16.100 --> 02:26:21.200]   We are also thrilled to announce that we are making great progress with
[02:26:21.200 --> 02:26:25.700]   the interior overhaul of the 400 and 500 classroom buildings.
[02:26:25.700 --> 02:26:31.500]   The renovation, which began during spring break 2024, is expected to
[02:26:31.500 --> 02:26:33.900]   be completed at the end of the year.
[02:26:33.900 --> 02:26:38.500]   At Orange High School, a new two-story classroom and student
[02:26:38.500 --> 02:26:43.200]   services building is receiving its final touches in preparation for its
[02:26:43.200 --> 02:26:45.900]   opening at the start of the upcoming school year.
[02:26:45.900 --> 02:26:51.300]   This impressive 26,000-square-foot facility features a welcoming and
[02:26:51.300 --> 02:26:56.600]   vibrant lobby of reception area, administration offices, Cal State
[02:26:56.600 --> 02:27:01.800]   offices, the testing room and six large new classrooms among other key
[02:27:01.800 --> 02:27:02.400]   spaces.
[02:27:02.400 --> 02:27:07.500]   Adjacent to the building is the expansive new interior courtyard.
[02:27:07.500 --> 02:27:11.900]   In addition to the new entry plaza, located at the intersection of
[02:27:11.900 --> 02:27:17.200]   Shaper and Roland Avenue, both feature natural landscaping, strategically
[02:27:17.200 --> 02:27:21.900]   placed trees and stylish concrete ceiling, creating campus spaces
[02:27:21.900 --> 02:27:26.300]   that inspire community interaction and provide opportunities for
[02:27:26.300 --> 02:27:27.400]   student gatherings.
[02:27:27.400 --> 02:27:32.200]   At Villa Park High School, we are making significant progress
[02:27:32.200 --> 02:27:34.000]   across several key areas.
[02:27:34.000 --> 02:27:38.600]   Earlier in the new classroom building 500, we made great strides.
[02:27:39.000 --> 02:27:42.400]   We've connected the power to the main switch gear to energize the
[02:27:42.400 --> 02:27:46.000]   building and our low-voltage work is continuing smoothly.
[02:27:46.000 --> 02:27:50.200]   On the exterior, we've installed window glazing on all sides of
[02:27:50.200 --> 02:27:50.800]   the building.
[02:27:50.800 --> 02:27:55.200]   Inside, the restroom of grades are coming along nicely with the
[02:27:55.200 --> 02:27:58.800]   toxic floors, tile, and fixtures already installed.
[02:27:58.800 --> 02:28:02.940]   In the classrooms, focused work included the installation of
[02:28:02.940 --> 02:28:06.800]   marker boards, casework, and lighting to tie everything together.
[02:28:07.400 --> 02:28:11.900]   As for the 100-200 building, the framing for the elevator roof and
[02:28:11.900 --> 02:28:16.200]   elevator room has been successfully completed, setting the stage for
[02:28:16.200 --> 02:28:19.900]   the installation of the new elevator, which is currently underway.
[02:28:19.900 --> 02:28:23.300]   The new stairs located on the south side of the building are in
[02:28:23.300 --> 02:28:24.000]   progress.
[02:28:24.000 --> 02:28:28.100]   These are vital milestones as we move closer to the completion of this
[02:28:28.100 --> 02:28:31.200]   exciting modernization portion of the project.
[02:28:31.200 --> 02:28:36.000]   We remain on track for the anticipated opening in fall 2024, and
[02:28:36.000 --> 02:28:39.400]   we look forward to unveiling these enhanced spaces.
[02:28:39.400 --> 02:28:43.900]   These beautiful modern facilities coupled with our innovative
[02:28:43.900 --> 02:28:47.500]   programs and student opportunities are testament to the
[02:28:47.500 --> 02:28:50.300]   collective vision and dedication of our community.
[02:28:50.300 --> 02:28:54.900]   A special thank you to our Board of Education, the CARES Committee,
[02:28:54.900 --> 02:29:00.200]   and the entire OUSD community for your support of the measure
[02:29:00.200 --> 02:29:04.800]   S and the facility improvement made possible because of it.
[02:29:04.800 --> 02:29:12.300]   (Music)
[02:29:12.300 --> 02:29:15.600]   Well, I think as you can see our high school campuses look drastically
[02:29:15.600 --> 02:29:20.100]   different after the, as we did before measure S was passed.
[02:29:20.100 --> 02:29:24.300]   Measure S really allowed us to create these modern new spaces for
[02:29:24.300 --> 02:29:27.400]   teaching and learning that reflect our shared dedication of
[02:29:27.400 --> 02:29:29.600]   fostering a bright future for our children.
[02:29:29.600 --> 02:29:33.400]   We are immensely grateful, I was stated before, to our Board of
[02:29:33.400 --> 02:29:36.600]   Education, our community, and the CARES Committee for their
[02:29:36.600 --> 02:29:37.700]   invaluable support.
[02:29:37.700 --> 02:29:38.900]   That concludes my report.
[02:29:38.900 --> 02:29:42.700]   Thank you very much, Superintendent Gonzalez.
[02:29:42.700 --> 02:29:45.100]   Next we have the President's report.
[02:29:45.100 --> 02:29:49.900]   And as previously shared by our Superintendent, this is definitely
[02:29:49.900 --> 02:29:51.500]   an exciting time of year.
[02:29:51.500 --> 02:29:57.000]   I always thought back to school season was like, I just had more
[02:29:57.000 --> 02:30:00.700]   excitement compared to New Year's because it's a time of year
[02:30:00.700 --> 02:30:03.800]   where you can kind of like set new determination, set those new
[02:30:03.800 --> 02:30:09.400]   goals, and really look at your academic year ahead and really
[02:30:09.400 --> 02:30:12.200]   just envision how you want to flourish.
[02:30:12.200 --> 02:30:15.300]   And I had those wishes for all of our students.
[02:30:15.300 --> 02:30:20.000]   I've seen many pictures and posts of our teachers already starting
[02:30:20.000 --> 02:30:22.700]   to get ready and setting up their classrooms to create the best
[02:30:22.700 --> 02:30:24.300]   learning environment for our students.
[02:30:24.300 --> 02:30:28.300]   And so I know this weekend and leading up to Wednesday, a lot
[02:30:28.300 --> 02:30:31.400]   of our families are also preparing for the first day of school.
[02:30:31.400 --> 02:30:38.500]   My incoming first grader is really looking forward to being able
[02:30:38.500 --> 02:30:40.900]   to play in the really big kid playground.
[02:30:40.900 --> 02:30:46.700]   And my incoming fourth grader is really nervous about the amount
[02:30:46.700 --> 02:30:50.200]   of homework that she's going to start having as one of the
[02:30:50.200 --> 02:30:53.700]   upper graders now at her elementary campus.
[02:30:53.700 --> 02:30:57.700]   But one thing that she's absolutely excited for is that
[02:30:57.700 --> 02:31:03.100]   fourth graders will now have BAPA programs, which is this year
[02:31:03.100 --> 02:31:05.600]   is expanding down to fourth grade.
[02:31:05.600 --> 02:31:07.400]   So we're really looking forward to that.
[02:31:07.400 --> 02:31:15.300]   So like I shared with a lot of our teachers and our facility staff
[02:31:15.300 --> 02:31:18.100]   and everyone is really preparing for students to come back.
[02:31:18.100 --> 02:31:23.100]   That's also a tip for our students and our families that preparation
[02:31:23.100 --> 02:31:23.600]   is key.
[02:31:23.600 --> 02:31:25.600]   Just having everything prepared the night before.
[02:31:25.600 --> 02:31:29.700]   We'll really diminish the amount of stress that first morning
[02:31:29.700 --> 02:31:31.600]   as everyone goes out.
[02:31:31.600 --> 02:31:35.500]   And I know that there's parking that's going to be limited
[02:31:35.500 --> 02:31:36.800]   at a lot of our schools.
[02:31:36.800 --> 02:31:41.500]   And if you are aware, OUSD is partnering with the City of Orange
[02:31:41.500 --> 02:31:46.300]   and OPD to have trainings about school safety of like how to
[02:31:46.300 --> 02:31:49.700]   walk to school, potentially preparing volunteers to help
[02:31:49.700 --> 02:31:53.300]   as passing guards and ensuring that all of our families get
[02:31:53.300 --> 02:31:54.200]   to school safely.
[02:31:55.400 --> 02:31:58.500]   And that Mr. Gonzalez, when is the next training?
[02:31:58.500 --> 02:31:59.600]   Is it August?
[02:31:59.600 --> 02:32:04.500]   I'm going to ask Mr. Angel or his staff to clarify that because
[02:32:04.500 --> 02:32:07.700]   I think the one that we had planned, the next one that we had
[02:32:07.700 --> 02:32:10.500]   planned, it turns out that a lot of elementary schools were
[02:32:10.500 --> 02:32:12.700]   planning their back to school on the same night.
[02:32:12.700 --> 02:32:16.700]   So I think they're working with the police department to reschedule
[02:32:16.700 --> 02:32:19.300]   that one so that way people don't have to choose between the two.
[02:32:19.300 --> 02:32:21.100]   So more information to come on.
[02:32:21.100 --> 02:32:24.600]   Okay, so definitely check our social media and websites.
[02:32:24.600 --> 02:32:27.800]   And I'm sure the principals will send out a message once that
[02:32:27.800 --> 02:32:28.900]   date is finalized.
[02:32:28.900 --> 02:32:34.200]   But those are my new years wishes for all of our students and
[02:32:34.200 --> 02:32:34.800]   teachers.
[02:32:34.800 --> 02:32:36.000]   Thank you.
[02:32:36.000 --> 02:32:40.000]   Next we have board recognition of students, staff and community
[02:32:40.000 --> 02:32:42.800]   and I would like to start with Trustee Erickson and kind of
[02:32:42.800 --> 02:32:45.700]   just go down and conclude with Mr. Trannick.
[02:32:45.700 --> 02:32:46.200]   That's okay.
[02:32:46.200 --> 02:32:49.000]   Thank you.
[02:32:49.000 --> 02:32:53.400]   I'm excited to hear about all of the everything going on at
[02:32:53.400 --> 02:32:56.500]   the schools and I really want to thank my teachers and our
[02:32:56.500 --> 02:32:59.800]   staff who I know have been really hard at work to welcome our
[02:32:59.800 --> 02:33:00.700]   students back.
[02:33:00.700 --> 02:33:03.800]   I hope everybody had some rest the summer and enjoyed themselves
[02:33:03.800 --> 02:33:04.800]   a little bit as well.
[02:33:04.800 --> 02:33:08.900]   I wanted to just give a shout out to a community member.
[02:33:08.900 --> 02:33:13.800]   Her name is Tonda Fields and seven years ago she started a
[02:33:13.800 --> 02:33:17.300]   backpack and school supply collection for students in need.
[02:33:17.300 --> 02:33:22.200]   And I think seven years ago she raised about $500 around there.
[02:33:23.100 --> 02:33:29.200]   But each year it's grown and this year in just 13 days she
[02:33:29.200 --> 02:33:34.000]   collected and donated 320 backpacks full of school supplies
[02:33:34.000 --> 02:33:36.400]   96 of those went to the Friendly Center.
[02:33:36.400 --> 02:33:42.200]   224 of those went to Orange Unified for our students and
[02:33:42.200 --> 02:33:45.300]   some of our Friendly Center backpacks will also go to
[02:33:45.300 --> 02:33:47.700]   Orange Unified students as well because they're a community
[02:33:47.700 --> 02:33:51.600]   partner that we have and it included all sorts of things
[02:33:51.600 --> 02:33:57.300]   like three-ring binders, 1,152 number two pencils, 385 pairs
[02:33:57.300 --> 02:34:01.700]   of scissors, index cards, highlighters and everything,
[02:34:01.700 --> 02:34:05.700]   302 reusable water bottles which goes really nicely with our
[02:34:05.700 --> 02:34:10.600]   new bottle filling stations and it's environmentally sound.
[02:34:10.600 --> 02:34:11.400]   So that was good.
[02:34:11.400 --> 02:34:15.500]   But her total value of donations and that includes people who
[02:34:15.500 --> 02:34:21.500]   donated people but just monetary value was $8,778
[02:34:21.500 --> 02:34:25.900]   and $0.07 in school supplies for our students in need.
[02:34:25.900 --> 02:34:28.400]   And I just wanted to give that community member a shout out
[02:34:28.400 --> 02:34:33.800]   because that's a huge thing for our students and that's a labor
[02:34:33.800 --> 02:34:36.400]   of love for her and so we really appreciate it.
[02:34:36.400 --> 02:34:48.100]   Well, good evening.
[02:34:48.700 --> 02:34:51.000]   Well, I'm not going to say anything too different from what
[02:34:51.000 --> 02:34:54.400]   Superintendent Gonzalez and President Page said.
[02:34:54.400 --> 02:34:57.100]   Just welcoming everybody back.
[02:34:57.100 --> 02:35:00.600]   It's been exciting as I've been out and about to see everything
[02:35:00.600 --> 02:35:02.000]   going on at the school sites.
[02:35:02.000 --> 02:35:06.400]   I have not passed by a single school site and not seen cars
[02:35:06.400 --> 02:35:10.500]   in the parking lot, maintenance crews on the grounds.
[02:35:10.500 --> 02:35:15.500]   It really, it goes on all summer but it really starts long
[02:35:15.500 --> 02:35:16.400]   before school starts.
[02:35:16.400 --> 02:35:18.100]   The principals have already been back.
[02:35:18.100 --> 02:35:20.000]   Lots of things are happening.
[02:35:20.000 --> 02:35:23.000]   I've run into some district staff and they're frazzled
[02:35:23.000 --> 02:35:25.900]   because that's their busiest time of the year probably getting
[02:35:25.900 --> 02:35:27.100]   ready for everybody to come back.
[02:35:27.100 --> 02:35:29.300]   So there's so much preparation that goes into it but I want
[02:35:29.300 --> 02:35:33.000]   to thank all of our maintenance crews, our classified staff,
[02:35:33.000 --> 02:35:37.700]   the bus drivers have already gone out, doing their practice runs.
[02:35:37.700 --> 02:35:39.600]   There's just so much involved.
[02:35:39.600 --> 02:35:42.000]   Teachers are already in their classrooms because you can never
[02:35:42.000 --> 02:35:43.500]   prepare enough when you do.
[02:35:44.600 --> 02:35:49.300]   And I've also, I wanted to just mention with the measure S update.
[02:35:49.300 --> 02:35:50.400]   It was so good to see that.
[02:35:50.400 --> 02:35:55.600]   I've seen a lot of people just recently who have come up to me
[02:35:55.600 --> 02:35:59.900]   and said, wow, I just went by Panhand or Orange High School
[02:35:59.900 --> 02:36:02.100]   or Villa Park and the schools are looking great.
[02:36:02.100 --> 02:36:08.100]   I talked to a gentleman this morning who was one of the graduates
[02:36:08.100 --> 02:36:12.700]   of Orange High when they walked over from the Chapman campus
[02:36:12.900 --> 02:36:15.800]   to Orange High in 1952.
[02:36:15.800 --> 02:36:16.300]   Okay.
[02:36:16.300 --> 02:36:16.800]   Yeah.
[02:36:16.800 --> 02:36:22.200]   And he was wearing an orange Panther shirt, which I thought
[02:36:22.200 --> 02:36:23.000]   was pretty cool.
[02:36:23.000 --> 02:36:26.500]   And so I started a conversation with him, but he said he's not
[02:36:26.500 --> 02:36:30.300]   been by to see this latest building, but I urged him
[02:36:30.300 --> 02:36:33.200]   to please go by and a lot of a lot of the people with him
[02:36:33.200 --> 02:36:35.300]   were saying, oh my gosh, it's just amazing.
[02:36:35.300 --> 02:36:38.200]   And I know I was at a meeting earlier this week and I think
[02:36:38.200 --> 02:36:42.000]   it was Dr. Glass was mentioning pride in our district
[02:36:42.000 --> 02:36:46.200]   and we want our students to have that pride as a principal
[02:36:46.200 --> 02:36:47.200]   fletcher.
[02:36:47.200 --> 02:36:50.300]   My kind of tagline was don't forget to show your felt pride
[02:36:50.300 --> 02:36:53.800]   and now I really want to extend that to don't forget to show
[02:36:53.800 --> 02:36:56.700]   your OUSD pride and I don't think we're going to have trouble
[02:36:56.700 --> 02:36:59.900]   with that this year because we have you saw those students in
[02:36:59.900 --> 02:37:03.000]   the video are really excited and really proud and I think
[02:37:03.000 --> 02:37:05.900]   all of us are really excited and proud about what's happened.
[02:37:05.900 --> 02:37:09.400]   So again, thank you to the to the everyone who helped with
[02:37:09.400 --> 02:37:11.900]   measure S because that's really been very successful.
[02:37:12.100 --> 02:37:14.200]   So here's to a great school year.
[02:37:14.200 --> 02:37:15.500]   Thank you.
[02:37:15.500 --> 02:37:19.500]   Thank you.
[02:37:19.500 --> 02:37:22.700]   I'm going to just reiterate what everyone else said.
[02:37:22.700 --> 02:37:25.100]   I hope everyone had a really nice summer.
[02:37:25.100 --> 02:37:26.500]   It went by really quickly.
[02:37:26.500 --> 02:37:31.100]   I think I think everyone agrees with me on that and it was
[02:37:31.100 --> 02:37:34.800]   really wonderful to see all the updates on the facilities
[02:37:34.800 --> 02:37:39.000]   measurements facilities at each of the campuses and can't
[02:37:39.000 --> 02:37:41.300]   wait to see the faces of my kids when they work in.
[02:37:42.300 --> 02:37:45.300]   As we start another exciting school year, I want to extend
[02:37:45.300 --> 02:37:48.900]   the warm welcome to all of our students, teachers, staff
[02:37:48.900 --> 02:37:50.100]   and administration.
[02:37:50.100 --> 02:37:53.100]   Of course, I'd like to welcome our newest employees.
[02:37:53.100 --> 02:37:57.500]   The beginning of a new the new school year is always filled
[02:37:57.500 --> 02:38:01.400]   with anticipation new opportunities and hopefully
[02:38:01.400 --> 02:38:02.000]   some fun.
[02:38:02.000 --> 02:38:06.700]   Our teachers have been diligently preparing and engaging
[02:38:06.700 --> 02:38:09.800]   and providing a supportive environment for our students
[02:38:09.800 --> 02:38:11.100]   and I want to thank them too.
[02:38:12.000 --> 02:38:15.600]   I wish everyone the best as we start the new school year.
[02:38:15.600 --> 02:38:20.700]   I would also like to thank the new principal over at Medina
[02:38:20.700 --> 02:38:25.700]   Block King for meeting with Trustee Erickson and myself to
[02:38:25.700 --> 02:38:29.000]   share his background and vision and we wish them all the best.
[02:38:29.000 --> 02:38:32.800]   And I also want to acknowledge Tauna Fields and I think
[02:38:32.800 --> 02:38:33.600]   Chris said it all.
[02:38:33.600 --> 02:38:38.500]   And the last thing I want to say is I'm really sad to report
[02:38:38.500 --> 02:38:41.600]   that one of our students, our former students are Mando
[02:38:41.600 --> 02:38:46.900]   Madrano who graduated in 2023 passed away earlier this
[02:38:46.900 --> 02:38:49.200]   whole year due to fentanyl poisoning.
[02:38:49.200 --> 02:38:55.600]   And I want to take a moment to thank the staff, the district
[02:38:55.600 --> 02:38:59.000]   principal Mikea over at Canyon High School and the football
[02:38:59.000 --> 02:39:02.300]   family because they're organizing a moment of silence at
[02:39:02.300 --> 02:39:06.900]   the football game this next Friday at August on August
[02:39:06.900 --> 02:39:08.500]   23rd at 6.45.
[02:39:08.500 --> 02:39:12.000]   So if you want to attend we'll be doing that.
[02:39:12.000 --> 02:39:16.300]   Anaheim City and another organization will be there.
[02:39:16.300 --> 02:39:19.200]   They're going to be distributing information to bring
[02:39:19.200 --> 02:39:20.700]   awareness on fentanyl.
[02:39:20.700 --> 02:39:28.500]   And I just want to say how sad my respect to the Madrano
[02:39:28.500 --> 02:39:30.900]   family because I know this is a huge house for them.
[02:39:30.900 --> 02:39:34.800]   She's like 19 so it's really heartbreaking.
[02:39:36.200 --> 02:39:36.700]   Thank you.
[02:39:36.700 --> 02:39:42.900]   So good evening everyone.
[02:39:42.900 --> 02:39:45.800]   Thank you for being in attendance and thank you for this
[02:39:45.800 --> 02:39:49.400]   opportunity to address you again as everyone else I already
[02:39:49.400 --> 02:39:53.000]   mentioned we want to welcome everyone back to the new academic
[02:39:53.000 --> 02:39:56.100]   year thanking all of the administrators for all their
[02:39:56.100 --> 02:39:59.000]   hard work, the faculty, the staff and of course the district
[02:39:59.000 --> 02:40:01.600]   administration for everything that they've done under the
[02:40:01.600 --> 02:40:03.800]   direction and leadership of our superintendent.
[02:40:04.400 --> 02:40:08.000]   And so as we close the summer semester I would like to stress
[02:40:08.000 --> 02:40:09.000]   a couple of things.
[02:40:09.000 --> 02:40:12.600]   I want to talk about briefly a couple of different programs
[02:40:12.600 --> 02:40:14.000]   that were in existence this summer.
[02:40:14.000 --> 02:40:18.100]   One is the Yorba Summers team program under the direction
[02:40:18.100 --> 02:40:21.800]   leadership of Dr. Michael Luther, an excellent program.
[02:40:21.800 --> 02:40:24.800]   One of my nephews attended that program and brought home
[02:40:24.800 --> 02:40:28.100]   something delicious to eat every day.
[02:40:28.100 --> 02:40:32.900]   And Spam Missouvi, if you don't know what it is, learn about
[02:40:32.900 --> 02:40:34.000]   it, it's very good.
[02:40:34.000 --> 02:40:37.300]   So it's excellent and I'm very thankful for that program.
[02:40:37.300 --> 02:40:40.000]   My second program I wanted to talk about is something that
[02:40:40.000 --> 02:40:43.000]   maybe many of you are aware of which is the CARES program
[02:40:43.000 --> 02:40:46.800]   Center for After School Recreation Enrichment and Safety.
[02:40:46.800 --> 02:40:50.200]   The program is a district-wide program but of course in the
[02:40:50.200 --> 02:40:55.400]   summer trunkings and so two of my kids went to the MacPherson
[02:40:55.400 --> 02:40:59.300]   satellite and we couldn't have done everything we do in the
[02:40:59.300 --> 02:41:01.600]   summer my wife and I without CARES.
[02:41:01.600 --> 02:41:04.400]   So very appreciative of them and I'm going to take a moment
[02:41:04.400 --> 02:41:06.900]   of personal privilege and name many of them.
[02:41:06.900 --> 02:41:11.500]   Ms. Violet, Ms. Josie, Ms. Erica, Mr. Josh, Ms. Alyssa,
[02:41:11.500 --> 02:41:15.800]   Ms. Brianna, Coach Cameron, and Ms. Novia who also works
[02:41:15.800 --> 02:41:18.700]   at Palmyra but she was over at MacPherson.
[02:41:18.700 --> 02:41:21.800]   And listen, what they do is amazing.
[02:41:21.800 --> 02:41:23.800]   They're unsung heroes.
[02:41:23.800 --> 02:41:27.200]   They're here for obviously for the adults, we have to do
[02:41:27.200 --> 02:41:29.400]   burn the day, but the kids have a great time now.
[02:41:29.400 --> 02:41:32.400]   So it's very wonderful to have them there and they're very
[02:41:32.400 --> 02:41:35.100]   safe, they're engaged and they have a lot of fun.
[02:41:35.100 --> 02:41:38.000]   And then finally I want to mention and celebrate all those
[02:41:38.000 --> 02:41:41.700]   who participated in the CSTEM professional development that
[02:41:41.700 --> 02:41:43.300]   was held at Portola Middle School.
[02:41:43.300 --> 02:41:47.400]   And so I want to really shout out Greg Miller who invited
[02:41:47.400 --> 02:41:52.200]   me to see my personal doctoral student from Long Beach State
[02:41:52.200 --> 02:41:55.300]   Jeff Hascott who was one of the co-pacilitators.
[02:41:55.300 --> 02:41:58.700]   I wasn't able to go because my nephews like COVID.
[02:41:58.800 --> 02:42:01.200]   So they started to go back and forth with who had COVID
[02:42:01.200 --> 02:42:01.800]   last week.
[02:42:01.800 --> 02:42:02.400]   It was great.
[02:42:02.400 --> 02:42:04.100]   They enjoy it.
[02:42:04.100 --> 02:42:06.800]   I want to make sure everyone knows that.
[02:42:06.800 --> 02:42:08.800]   Stay healthy, stay healthy.
[02:42:08.800 --> 02:42:11.800]   So just as we begin the academic year, I want to wish all
[02:42:11.800 --> 02:42:14.400]   the students, the teachers, the families a wonderful start.
[02:42:14.400 --> 02:42:17.800]   And in the words of the great Mary McLeod, the whole world
[02:42:17.800 --> 02:42:21.400]   opened to me when I learned to read and education.
[02:42:21.400 --> 02:42:24.500]   As we know is the key to unlocking so many doors that
[02:42:24.500 --> 02:42:25.700]   are endless possibilities.
[02:42:25.700 --> 02:42:28.200]   We want to make sure that you embark on an incredible
[02:42:28.200 --> 02:42:30.800]   journey and embark on this together.
[02:42:30.800 --> 02:42:33.600]   So thank you all very much and have a wonderful academic
[02:42:33.600 --> 02:42:33.800]   year.
[02:42:33.800 --> 02:42:40.500]   I just want to briefly wish the students a wonderful and
[02:42:40.500 --> 02:42:43.900]   successful year both academically and socially.
[02:42:43.900 --> 02:42:48.000]   I want to wish the teachers a successful year that their
[02:42:48.000 --> 02:42:52.300]   passion for teaching would grow and they would have clarity
[02:42:52.300 --> 02:42:54.400]   with both their students and with parents.
[02:42:54.400 --> 02:42:57.700]   And I don't want to forget the administrators as well that
[02:42:57.700 --> 02:43:04.300]   they have a wonderful successful year and that they that their
[02:43:04.300 --> 02:43:07.900]   schools are organized and that they would also have clarity.
[02:43:07.900 --> 02:43:11.500]   And I want to thank you all for everything that you do.
[02:43:11.500 --> 02:43:16.000]   Thank you.
[02:43:16.000 --> 02:43:16.400]   Thank you.
[02:43:16.400 --> 02:43:21.000]   I was I would be remiss if I didn't think that orange
[02:43:21.000 --> 02:43:23.100]   and apply public schools foundation and all their
[02:43:23.100 --> 02:43:26.700]   volunteers for organizing the street there that's coming
[02:43:26.700 --> 02:43:28.300]   up every day a weekend.
[02:43:28.300 --> 02:43:34.200]   They are having a bounce house and they're looking
[02:43:34.200 --> 02:43:35.000]   for volunteers.
[02:43:35.000 --> 02:43:38.800]   So if you need if you want to volunteer I know some of us
[02:43:38.800 --> 02:43:39.400]   will be there.
